word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
temps,0,0.0089919546,0,0,0,0.006231036,0,0,0,0,0,0,0.010622669,0.0043601896,0,0.011342449,0,0,0.00059220656,0.010054494,0.006731287,0,0,0,0
ans,0,0,0,0.00017865118,0,0,0,0,0.00016199579,0,0.00074571216,0,0.0031641993,0,0.0056806654,0.0063704164,0,0,0,0,0,0,0,0,0
commencer,0,0,0,0,0,0,0.00062082881,0,0.0012959663,0.00022925264,0,0,0,0,0.0010144045,0,0,0.00013241525,0,0,0,0,0,0,0
jour,0,0.00023663038,0.012130034,0.010272443,0,0,0,0.012047363,0,0,0,0.000073866155,0,0,0.0097382836,0.014916097,0,0,0,0,0,0,0,0,0
achevée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026374518,0.00031075202,0,0,0,0,0,0.000057191879,0,0,0
vertu,0.001984352,0,0,0,0.012154862,0,0,0,0,0,0,0,0.012091762,0,0,0,0,0,0.009119981,0,0,0,0,0,0
expresses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010144045,0,0,0,0,0,0,0,0,0,0
défenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050720227,0,0,0,0,0,0,0,0,0,0
qualité,0,0,0.0040433447,0,0,0,0.0027937296,0,0,0,0.00018642804,0,0.0025991637,0,0.0014201664,0,0,0,0,0,0,0,0,0,0
prétexte,0.00062365348,0,0,0,0,0,0,0.00055073661,0,0,0,0,0,0,0.0012172855,0,0,0,0,0,0,0,0,0,0
consentement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032460945,0,0,0,0,0.0010745261,0,0,0,0,0
droit,0,0,0.0016173379,0,0,0,0,0.0068153656,0,0,0,0,0,0,0.0038547373,0,0,0.0015889831,0,0,0,0,0,0,0.0012719949
peine,0.0043088786,0,0.009865761,0,0,0.0095361942,0.0035697656,0,0,0,0,0.0067218201,0.0046332919,0,0.0083181173,0,0,0,0,0,0,0,0,0,0
contrevenants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016230473,0,0,0,0,0,0,0,0,0,0
livres,0,0,0,0,0,0,0,0,0,0,0.00074571216,0,0,0,0.0050720227,0,0,0,0,0,0,0,0,0.00027262814,0
amende,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036518564,0,0.00024160425,0,0,0,0,0,0,0,0
confiscation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032460945,0,0,0,0,0,0,0,0,0,0
exemplaires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071008318,0,0,0,0,0,0,0,0,0,0
contrefaits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024345709,0,0,0,0,0,0,0,0,0,0
dépens,0,0,0.00048520136,0,0,0,0.0012416576,0,0,0,0,0,0,0,0.0034489755,0,0,0,0,0,0,0.00085787818,0,0,0
dommages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038547373,0,0,0,0,0,0,0,0,0,0
intérêts,0,0,0,0,0,0,0,0,0,0,0,0,0.0025991637,0,0.00446338,0,0.00072481276,0,0.0014212957,0,0,0,0,0,0
condition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032460945,0,0.00024160425,0,0,0.0016885409,0,0,0.0019392372,0,0
mettre,0,0,0,0.0031263957,0,0,0,0,0,0,0,0.0011818585,0.0051983275,0,0,0,0,0.0060911017,0,0,0,0,0,0,0
bibliothèque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014201664,0,0,0,0,0,0,0,0,0,0
publique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223169,0.0012430081,0,0,0.0024872676,0,0,0,0,0.0010905125,0
château,0,0,0,0,0,0,0.0027937296,0,0,0,0,0,0,0,0.0012172855,0,0,0,0,0,0,0,0,0,0.0012719949
louvre,0,0,0,0,0,0,0.0001552072,0,0,0,0,0,0,0,0.00081152364,0,0,0,0,0,0,0,0,0,0
féal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012172855,0,0,0,0,0,0,0,0,0,0
chevalier,0.00051026193,0,0.00032346757,0,0,0,0,0,0,0,0,0,0,0,0.0014201664,0,0,0,0,0,0,0,0,0,0
chancelier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010144045,0,0,0,0,0,0,0,0,0,0
tellier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011844131,0,0,0,0,0,0
exposer,0,0,0,0.00058061635,0,0.0010294755,0,0,0,0.00045850527,0,0,0,0,0.0040576182,0,0,0,0,0,0,0,0,0,0
vente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223169,0,0,0,0,0,0,0,0,0,0
nullité,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014201664,0,0,0,0,0,0,0,0,0,0
contenu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223169,0,0,0,0,0,0,0,0,0,0
voulons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030432136,0,0,0,0,0,0,0.00045753503,0,0,0
fassiez,0,0,0,0.00017865118,0,0,0,0,0,0,0,0,0,0,0.0014201664,0,0,0,0,0,0,0,0,0,0
jouir,0.00017008731,0,0,0,0,0.001408756,0,0,0,0,0,0.00051706308,0,0,0.0028403327,0,0,0,0,0,0,0,0,0,0
pleinement,0,0,0,0,0.0016506603,0.00016254876,0,0,0,0,0,0,0,0,0.0014201664,0,0,0,0,0,0,0,0,0,0
paisiblement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014201664,0,0,0,0,0,0,0,0.00032320621,0,0
mettant,0,0,0,0,0,0,0,0,0,0,0,0,0.0011300712,0,0.0014201664,0,0,0,0,0,0,0,0,0,0
