Source,Target,Weight,Type
143,11,0.079347826,undirected
143,13,0.0097826087,undirected
143,18,0.031521739,undirected
143,21,0.054347826,undirected
144,0,0.0097402597,undirected
144,3,0.023809524,undirected
144,4,0.050865801,undirected
144,5,0.071428571,undirected
144,6,0.0054112554,undirected
144,7,0.061688312,undirected
144,10,0.0064935065,undirected
144,11,0.029220779,undirected
144,12,0.0075757576,undirected
144,15,0.0010822511,undirected
144,18,0.023809524,undirected
144,19,0.018398268,undirected
144,20,0.0054112554,undirected
144,21,0.075757576,undirected
144,23,0.0021645022,undirected
145,0,0.039045553,undirected
145,2,0.0086767896,undirected
145,3,0.036876356,undirected
145,4,0.034707158,undirected
145,5,0.032537961,undirected
145,7,0.013015184,undirected
145,8,0.014099783,undirected
145,11,0.027114967,undirected
145,13,0.061822126,undirected
145,15,0.0054229935,undirected
145,16,0.0086767896,undirected
145,18,0.031453362,undirected
145,19,0.028199566,undirected
145,21,0.07483731,undirected
145,22,0.0010845987,undirected
146,0,0.0065005417,undirected
146,1,0.080173348,undirected
146,5,0.016251354,undirected
146,7,0.021668472,undirected
146,9,0.14084507,undirected
146,11,0.0097508126,undirected
146,12,0.041170098,undirected
146,13,0.013001083,undirected
146,14,0.020585049,undirected
146,17,0.0086673889,undirected
146,18,0.019501625,undirected
146,19,0.0021668472,undirected
146,21,0.0032502709,undirected
147,1,0.042529989,undirected
147,3,0.01308615,undirected
147,5,0.0021810251,undirected
147,7,0.020719738,undirected
147,8,0.0087241003,undirected
147,9,0.12322792,undirected
147,10,0.0076335878,undirected
147,11,0.021810251,undirected
147,12,0.054525627,undirected
147,14,0.011995638,undirected
147,15,0.0098146129,undirected
147,17,0.0076335878,undirected
147,18,0.027262814,undirected
147,19,0.019629226,undirected
147,22,0.0021810251,undirected
148,0,0.015005359,undirected
148,1,0.013933548,undirected
148,3,0.011789925,undirected
148,6,0.0010718114,undirected
148,7,0.061093248,undirected
148,8,0.0085744909,undirected
148,9,0.10075027,undirected
148,10,0.0021436227,undirected
148,11,0.032154341,undirected
148,12,0.032154341,undirected
148,13,0.021436227,undirected
148,14,0.0064308682,undirected
148,17,0.0010718114,undirected
148,18,0.034297964,undirected
148,19,0.027867095,undirected
149,0,0.012035011,undirected
149,1,0.028446389,undirected
149,4,0.0098468271,undirected
149,5,0.021881838,undirected
149,7,0.10722101,undirected
149,9,0.071115974,undirected
149,11,0.015317287,undirected
149,12,0.02297593,undirected
149,14,0.0032822757,undirected
149,18,0.065645514,undirected
149,19,0.01750547,undirected
150,0,0.023861171,undirected
150,3,0.023861171,undirected
150,5,0.029284165,undirected
150,6,0.011930586,undirected
150,7,0.14208243,undirected
150,8,0.022776573,undirected
150,9,0.029284165,undirected
150,10,0.0010845987,undirected
150,11,0.0065075922,undirected
150,12,0.0021691974,undirected
150,14,0.0010845987,undirected
150,15,0.015184382,undirected
150,16,0.011930586,undirected
150,18,0.071583514,undirected
150,19,0.020607375,undirected
150,21,0.014099783,undirected
151,0,0.0098576123,undirected
151,1,0.0054764513,undirected
151,3,0.047097481,undirected
151,5,0.051478642,undirected
151,7,0.1347207,undirected
151,9,0.0010952903,undirected
151,11,0.0010952903,undirected
151,16,0.017524644,undirected
151,18,0.099671413,undirected
151,20,0.010952903,undirected
151,21,0.030668127,undirected
152,0,0.028729282,undirected
152,3,0.048618785,undirected
152,4,0.008839779,undirected
152,5,0.048618785,undirected
152,7,0.11049724,undirected
152,9,0.0033149171,undirected
152,11,0.048618785,undirected
152,15,0.014364641,undirected
152,16,0.016574586,undirected
152,18,0.085082873,undirected
152,19,0.0011049724,undirected
153,0,0.031317495,undirected
153,1,0.0010799136,undirected
153,3,0.052915767,undirected
153,5,0.071274298,undirected
153,6,0.0010799136,undirected
153,7,0.071274298,undirected
153,11,0.034557235,undirected
153,13,0.020518359,undirected
153,18,0.075593952,undirected
153,21,0.044276458,undirected
153,24,0.0010799136,undirected
154,0,0.015151515,undirected
154,2,0.0075757576,undirected
154,3,0.047619048,undirected
154,4,0.024891775,undirected
154,5,0.062770563,undirected
154,7,0.13528139,undirected
154,8,0.012987013,undirected
154,11,0.014069264,undirected
154,12,0.0043290043,undirected
154,13,0.011904762,undirected
154,15,0.0097402597,undirected
154,16,0.0010822511,undirected
154,18,0.073593074,undirected
154,21,0.015151515,undirected
155,0,0.0075349839,undirected
155,1,0.0021528525,undirected
155,3,0.038751346,undirected
155,5,0.038751346,undirected
155,6,0.0010764263,undirected
155,7,0.095801938,undirected
155,8,0.015069968,undirected
155,11,0.057050592,undirected
155,12,0.012917115,undirected
155,13,0.01722282,undirected
155,18,0.078579117,undirected
155,19,0.0043057051,undirected
155,20,0.0086114101,undirected
155,21,0.038751346,undirected
155,23,0.0010764263,undirected
156,0,0.029735683,undirected
156,3,0.047356828,undirected
156,5,0.04845815,undirected
156,7,0.1277533,undirected
156,8,0.024229075,undirected
156,11,0.036343612,undirected
156,18,0.085903084,undirected
156,21,0.034140969,undirected
156,24,0.0055066079,undirected
157,0,0.012127894,undirected
157,3,0.041896362,undirected
157,4,0.0088202867,undirected
157,5,0.069459757,undirected
157,7,0.14884234,undirected
157,8,0.022050717,undirected
157,9,0.0022050717,undirected
157,11,0.035281147,undirected
157,13,0.0022050717,undirected
157,14,0.0011025358,undirected
157,18,0.062844542,undirected
157,19,0.0011025358,undirected
158,0,0.012944984,undirected
158,2,0.0064724919,undirected
158,3,0.03236246,undirected
158,5,0.12513484,undirected
158,7,0.0798274,undirected
158,8,0.024811219,undirected
158,9,0.003236246,undirected
158,11,0.025889968,undirected
158,16,0.018338727,undirected
158,18,0.0399137,undirected
158,20,0.011866235,undirected
158,21,0.024811219,undirected
158,24,0.0053937433,undirected
159,0,0.057017544,undirected
159,3,0.018640351,undirected
159,5,0.049342105,undirected
159,7,0.12280702,undirected
159,8,0.021929825,undirected
159,16,0.0010964912,undirected
159,18,0.050438596,undirected
159,21,0.059210526,undirected
159,22,0.0021929825,undirected
160,0,0.0010940919,undirected
160,3,0.060175055,undirected
160,4,0.0054704595,undirected
160,5,0.092997812,undirected
160,7,0.13129103,undirected
160,11,0.018599562,undirected
160,16,0.0021881838,undirected
160,18,0.027352298,undirected
160,21,0.054704595,undirected
160,22,0.0010940919,undirected
161,0,0.021505376,undirected
161,3,0.061290323,undirected
